Модель: /workspace/output/run_20260325_084645/model_int8.tflite
IMG_SIZE: 260 (из модели)
Датасет: /workspace/dataset

Категорий: 114, сэмплов/кат: 20

  Cat | Photos | Test |  Top1 |  Top3 |               Pred-1 |               Pred-2 |               Pred-3
-------------------------------------------------------------------------------------------------------------------
    1 |    161 |   20 |  55% OK |  90%  |     *  1 44.5% (18x) |        3 25.8% (16x) |       49 11.8% ( 5x)
    2 |    496 |   20 |  65% OK |  80%  |     *  2 50.7% (16x) |       43 17.0% (10x) |        3  7.9% ( 9x)
    3 |    434 |   20 |  20% -- |  50%  |       45 18.3% (11x) |     *  3 22.3% (10x) |        1 28.9% ( 7x)
    4 |     19 |   19 |  11% -- |  32%  |        5 45.0% (12x) |       45 15.3% (11x) |        3 11.9% ( 8x)
    5 |    338 |   20 |  85% OK |  95%  |     *  5 61.3% (19x) |       49 11.4% (13x) |       45 12.1% (12x)
    6 |      7 |    7 |  71% OK |  71%  |     *  6 37.3% ( 5x) |        5 25.9% ( 5x) |        3 18.5% ( 3x)
    7 |    176 |   20 |  30% -- |  65%  |     *  7 29.1% (13x) |       49 18.6% ( 8x) |       43 19.5% ( 7x)
    8 |    269 |   20 |  60% OK |  85%  |     *  8 40.9% (17x) |        2 13.2% (10x) |       21 13.2% (10x)
    9 |     18 |   18 |  22% -- |  56%  |        3 35.3% (12x) |     *  9 27.5% (10x) |        1 13.6% ( 9x)
   10 |     72 |   20 |   5% -- |  50%  |        2 22.4% (12x) |       43 26.3% (11x) |     * 10 16.6% (10x)
   11 |    562 |   20 | 100% OK | 100%  |     * 11 96.1% (20x) |      126  0.0% (11x) |       43  0.0% (10x)
   12 |    145 |   20 |  75% OK |  95%  |     * 12 55.8% (19x) |       13 10.4% ( 8x) |        3 10.9% ( 6x)
   13 |     22 |   20 |  25% -- |  60%  |     * 13 23.5% (12x) |       12 35.1% (11x) |        1  7.1% ( 6x)
   14 |      6 |    6 |   0% -- |  50%  |       12 59.5% ( 3x) |       11 46.6% ( 3x) |     * 14  7.4% ( 3x)
   15 |    303 |   20 |  35% -- |  80%  |     * 15 33.4% (16x) |      110 23.7% (13x) |       16 20.2% ( 9x)
   16 |    382 |   20 |  50% OK |  75%  |     * 16 38.7% (15x) |      110 25.3% (13x) |       15 21.2% (11x)
   17 |     29 |   20 |   5% -- |  35%  |        3 32.0% (13x) |        1 22.1% ( 9x) |     * 17 14.3% ( 7x)
   18 |     60 |   20 |  30% -- |  70%  |        2 23.2% (18x) |     * 18 35.3% (14x) |       21 18.1% ( 9x)
   19 |     47 |   20 |   0% -- |  10%  |        3 28.0% (15x) |       49 19.7% (10x) |       45 16.2% ( 9x)
   20 |    107 |   20 |  15% -- |  50%  |       45 27.9% (11x) |     * 20 24.5% (10x) |        1 28.0% ( 6x)
   21 |    255 |   20 |  35% -- |  70%  |     * 21 29.6% (14x) |        2 18.7% ( 7x) |        8 12.7% ( 7x)
   22 |     19 |   19 |  21% -- |  53%  |     * 22 25.0% (10x) |       45 14.4% ( 8x) |        5 31.6% ( 7x)
   23 |     13 |   13 |  23% -- |  62%  |       25 24.3% (10x) |     * 23 35.1% ( 8x) |       12 39.3% ( 5x)
   24 |      4 |    4 |  50% OK |  50%  |       25 18.0% ( 3x) |     * 24 23.0% ( 2x) |       20 11.9% ( 2x)
   25 |    221 |   20 |  75% OK |  90%  |     * 25 53.5% (18x) |       26 10.0% ( 8x) |       12 18.2% ( 6x)
   26 |     31 |   20 |  45% -- |  60%  |     * 26 46.8% (12x) |       25 15.1% (11x) |       49 13.9% ( 6x)
   27 |     10 |   10 |  30% -- |  70%  |     * 27 23.7% ( 7x) |       49 16.3% ( 3x) |       45 14.1% ( 3x)
